N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
99,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,619.88,0.359,34.688
100,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,630.29,0.353,34.6878
101,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,640.29,0.349,34.6877
102,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,650.26,0.343,34.6876
103,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,660.2,0.338,34.6874
104,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,670.16,0.333,34.6871
105,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,680.29,0.328,34.6874
106,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,690.06,0.319,34.6866
107,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,700.15,0.315,34.6867
108,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,725.4,0.306,34.6865
109,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,750.22,0.295,34.6856
110,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,775.19,0.285,34.6854
111,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,799.53,0.274,34.6846
112,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,850.24,0.254,34.6836
113,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,900.18,0.241,34.6832
114,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,950.38,0.22,34.6822
115,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1000.37,0.206,34.6816
116,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1050.05,0.182,34.6806
117,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1100.23,0.16,34.6794
118,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1150.31,0.149,34.6792
119,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1200.39,0.129,34.6782
