N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
128,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,135.4,12.2,35.069
129,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,136.5,12.198,35.068
130,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,137.6,12.188,35.067
131,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,138.7,12.18,35.066
132,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,139.8,12.164,35.065
133,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,140.8,12.149,35.061
134,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,141.9,12.147,35.06
135,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,143.0,12.127,35.058
136,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,144.0,12.12,35.056
137,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,145.1,12.103,35.054
138,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,146.2,12.095,35.051
139,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,147.3,12.082,35.052
140,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,148.3,12.082,35.053
141,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,149.4,12.082,35.055
142,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,150.5,12.079,35.054
143,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,151.5,12.074,35.053
144,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,152.6,12.069,35.054
145,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,153.7,12.052,35.052
146,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,154.7,12.052,35.053
147,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,155.8,12.053,35.054
148,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,156.9,12.055,35.053
149,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,158.0,12.058,35.055
150,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,159.1,12.062,35.056
151,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,160.2,12.062,35.057
152,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,161.3,12.051,35.056
153,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,162.4,12.039,35.055
154,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,163.5,12.039,35.055
155,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,164.6,12.038,35.055
156,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,165.7,12.038,35.055
157,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,166.8,12.025,35.051
158,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,167.9,12.025,35.054
159,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,169.0,12.016,35.053
160,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,170.1,12.01,35.051
161,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,171.2,11.986,35.055
162,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,172.3,11.976,35.048
163,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,173.5,11.975,35.047
164,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,174.6,11.975,35.047
165,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,175.8,11.972,35.046
166,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,176.9,11.968,35.046
167,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,178.1,11.964,35.045
168,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,179.2,11.954,35.044
169,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,180.4,11.94,35.041
170,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,181.5,11.935,35.04
171,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,182.7,11.924,35.037
172,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,183.8,11.912,35.036
173,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,185.0,11.912,35.037
174,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,186.2,11.91,35.036
175,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,187.3,11.909,35.035
176,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,188.5,11.901,35.034
177,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,189.6,11.895,35.033
178,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,190.8,11.893,35.033
179,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,191.9,11.882,35.033
180,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,193.1,11.88,35.031
181,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,194.2,11.872,35.031
182,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,195.4,11.869,35.03
183,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,196.5,11.866,35.03
