N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
111,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,214.0,18.968,36.679
112,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,216.04,18.887,36.664
113,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,218.04,18.866,36.661
114,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,220.04,18.836,36.657
115,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,222.0,18.824,36.653
116,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,224.0,18.81,36.65
117,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,225.96,18.794,36.647
118,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,227.96,18.746,36.645
119,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,230.0,18.667,36.627
120,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,232.04,18.628,36.62
121,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,233.96,18.557,36.605
122,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,235.92,18.539,36.6
123,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,237.96,18.532,36.597
124,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,239.96,18.531,36.596
125,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,241.92,18.524,36.595
126,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,243.92,18.512,36.592
127,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,245.92,18.5,36.588
128,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,247.92,18.484,36.586
129,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,250.0,18.465,36.581
130,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,252.0,18.427,36.573
131,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,254.0,18.385,36.567
132,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,256.0,18.31,36.561
133,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,257.96,18.273,36.554
134,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,259.96,18.239,36.548
135,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,262.0,18.182,36.54
136,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,264.04,18.088,36.527
137,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,266.04,18.047,36.518
138,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,268.04,18.04,36.516
139,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,270.04,18.038,36.515
140,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,272.04,17.997,36.51
141,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,274.0,17.92,36.496
142,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,276.04,17.859,36.487
143,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,278.08,17.825,36.481
144,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,280.04,17.765,36.472
145,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,282.0,17.721,36.463
146,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,283.92,17.703,36.459
147,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,285.96,17.65,36.452
148,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,288.0,17.623,36.446
149,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,289.96,17.617,36.445
150,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,291.92,17.607,36.444
151,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,294.0,17.587,36.441
152,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,296.04,17.569,36.437
153,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,297.96,17.55,36.435
154,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,299.96,17.498,36.427
155,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,302.0,17.477,36.423
156,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,304.0,17.465,36.421
157,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,305.96,17.456,36.42
158,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,308.0,17.451,36.419
159,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,310.0,17.442,36.418
160,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,312.0,17.431,36.415
161,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,314.0,17.412,36.413
162,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,316.08,17.385,36.407
163,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,318.08,17.366,36.403
164,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,320.04,17.31,36.396
165,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,322.08,17.254,36.387
166,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,324.04,17.223,36.382
167,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,326.08,17.206,36.379
168,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,328.0,17.181,36.375
169,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,329.92,17.155,36.37
170,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,332.0,17.118,36.366
171,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,334.04,17.09,36.36
172,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,336.0,17.084,36.359
173,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,338.0,17.078,36.358
174,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,340.04,17.073,36.357
175,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,342.04,17.067,36.355
176,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,344.04,17.039,36.352
177,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,346.04,16.986,36.344
178,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,348.04,16.957,36.34
179,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,350.04,16.945,36.336
180,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,352.0,16.924,36.332
181,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,353.96,16.904,36.329
182,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,356.04,16.841,36.318
183,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,358.04,16.788,36.309
184,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,360.0,16.721,36.3
185,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,362.04,16.648,36.287
186,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,364.0,16.564,36.276
187,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,366.04,16.491,36.262
188,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,368.0,16.435,36.254
189,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,369.92,16.407,36.247
190,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,371.92,16.344,36.238
191,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,373.96,16.285,36.227
192,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,376.0,16.17,36.214
193,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,377.92,16.065,36.196
194,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,380.0,16.045,36.19
195,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,382.08,16.043,36.19
196,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,384.04,16.039,36.189
197,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,386.0,15.993,36.184
198,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,388.0,15.964,36.177
199,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,389.92,15.928,36.172
200,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,392.0,15.89,36.166
201,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,394.04,15.852,36.159
202,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,396.0,15.823,36.154
203,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,398.04,15.788,36.149
204,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,399.96,15.736,36.14
205,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,401.96,15.693,36.134
206,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,404.04,15.646,36.127
207,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,406.0,15.625,36.122
208,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,408.0,15.592,36.118
209,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,410.0,15.562,36.112
210,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,411.96,15.533,36.106
211,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,414.0,15.425,36.093
212,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,416.08,15.32,36.076
213,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,418.0,15.272,36.066
214,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,420.0,15.261,36.064
215,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,421.96,15.253,36.063
216,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,423.96,15.24,36.061
217,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,426.0,15.228,36.058
218,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,428.04,15.221,36.057
219,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,430.0,15.21,36.055
220,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,431.96,15.2,36.052
221,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,433.96,15.162,36.046
222,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,435.96,15.019,36.03
223,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,438.0,14.955,36.016
224,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,440.0,14.922,36.01
225,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,441.96,14.861,36.002
226,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,444.04,14.762,35.987
227,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,446.0,14.693,35.977
228,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,448.0,14.592,35.964
229,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,450.0,14.552,35.956
230,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,452.04,14.536,35.953
231,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,454.04,14.521,35.951
