N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
129,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,167.2,2.729,34.896
130,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,169.5,2.718,34.897
131,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,171.6,2.72,34.897
132,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,173.4,2.715,34.897
133,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,175.2,2.69,34.898
134,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,177.5,2.678,34.898
135,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,179.7,2.66,34.9
136,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,181.5,2.653,34.9
137,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,183.3,2.643,34.9
138,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,185.1,2.632,34.901
139,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,187.4,2.598,34.904
140,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,189.7,2.576,34.905
141,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,191.5,2.57,34.905
142,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,193.3,2.569,34.905
143,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,195.1,2.568,34.905
144,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,197.3,2.567,34.905
145,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,199.5,2.562,34.905
146,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,201.4,2.562,34.904
147,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,203.2,2.565,34.903
148,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,205.1,2.546,34.906
149,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,207.4,2.492,34.903
150,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,209.8,2.439,34.902
151,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,211.6,2.42,34.901
152,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,213.5,2.398,34.901
153,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,215.4,2.383,34.9
154,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,217.3,2.368,34.899
155,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,219.2,2.346,34.898
156,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,221.1,2.336,34.897
157,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,223.0,2.305,34.898
